epoch,g_loss,d_loss
16,1.296717,1.131419
17,1.297845,1.132048
18,1.292868,1.131418
19,1.320089,1.117405
20,1.306472,1.131304
21,1.314217,1.125008
22,1.323949,1.119552
23,1.307701,1.121370
24,1.322486,1.115504
25,1.352325,1.105448
26,1.336899,1.113215
27,1.338421,1.110814
28,1.374919,1.098188
29,1.344664,1.108959
30,1.340540,1.111684
31,1.349242,1.107117
32,1.363279,1.101327
33,1.361149,1.100617
34,1.368001,1.095598
35,1.375883,1.096303
36,1.380310,1.090753
37,1.384277,1.096454
38,1.376186,1.096095
39,1.394379,1.096633
40,1.394416,1.094075
41,1.403739,1.087718
42,1.383559,1.094728
43,1.384010,1.095263
44,1.386139,1.099249
45,1.392492,1.092684
46,1.392061,1.091788
47,1.374175,1.096255
48,1.385910,1.097321
49,1.388342,1.097870
50,1.383339,1.090379
1,1.002597,1.205292
2,1.469119,1.123022
3,1.720420,1.023108
4,1.621882,1.039024
5,1.619792,1.022557
6,1.552353,1.052405
7,1.369712,1.110513
8,1.212556,1.178171
9,1.094050,1.242160
10,1.088621,1.234171
11,1.099503,1.227674
12,1.117146,1.221400
13,1.112042,1.220929
14,1.131275,1.206195
15,1.144109,1.202319
16,1.159790,1.189926
17,1.167429,1.188748
18,1.157063,1.193961
19,1.144642,1.206122
20,1.141597,1.204310
21,1.147293,1.196849
22,1.152667,1.194013
23,1.162466,1.191578
24,1.158539,1.193832
25,1.168575,1.189030
26,1.159310,1.193591
27,1.152656,1.193105
28,1.163787,1.192040
29,1.151906,1.194630
30,1.157484,1.194279
31,1.159897,1.197777
32,1.164467,1.192472
33,1.160538,1.194297
34,1.162141,1.194258
35,1.163914,1.191487
36,1.173280,1.190453
37,1.166064,1.194231
38,1.171809,1.191200
39,1.171523,1.191892
40,1.177469,1.190826
41,1.181283,1.188907
42,1.178115,1.188135
43,1.179915,1.187480
44,1.177353,1.188559
45,1.174493,1.191015
46,1.176879,1.186398
47,1.183291,1.191730
48,1.180242,1.189910
49,1.179092,1.189270
50,1.178665,1.189390
1,0.955989,1.233040
2,1.393820,1.138957
3,1.505791,1.092600
4,1.388451,1.113111
5,1.487191,1.090953
6,1.459440,1.078986
7,1.402006,1.094339
8,1.285558,1.140076
9,1.188705,1.185507
10,1.148229,1.205372
11,1.140104,1.210364
12,1.169365,1.194333
13,1.124306,1.217572
14,1.102962,1.226971
15,1.105709,1.221429
16,1.101173,1.222408
17,1.097476,1.223622
18,1.103041,1.223813
19,1.101210,1.218019
20,1.113259,1.216478
21,1.120785,1.213588
22,1.118533,1.213139
23,1.122480,1.210253
24,1.131300,1.205931
25,1.125123,1.209840
26,1.141253,1.203931
27,1.140538,1.200523
28,1.151575,1.199463
29,1.139673,1.201613
30,1.154216,1.198679
31,1.148477,1.198364
32,1.148438,1.197108
33,1.155403,1.199830
34,1.152830,1.198285
35,1.150642,1.201086
36,1.147326,1.199427
37,1.152713,1.199594
38,1.158147,1.197109
39,1.153329,1.200328
40,1.160520,1.198632
41,1.162736,1.197950
42,1.162003,1.196207
43,1.164126,1.196526
44,1.161670,1.198469
45,1.163221,1.198785
46,1.161765,1.197767
47,1.162381,1.197112
48,1.165753,1.198759
49,1.161896,1.197949
50,1.168416,1.197682
51,1.168422,1.196119
52,1.172745,1.192411
53,1.172804,1.190851
54,1.177383,1.194190
55,1.179649,1.190086
56,1.177712,1.190934
57,1.169448,1.193409
58,1.178869,1.194321
59,1.178986,1.192377
60,1.180928,1.190740
61,1.183539,1.186006
62,1.177303,1.189886
63,1.181432,1.190156
64,1.184685,1.190453
65,1.177771,1.192288
66,1.174659,1.192000
67,1.179277,1.193821
68,1.181868,1.194477
69,1.175165,1.196014
70,1.177820,1.192790
71,1.177754,1.193968
72,1.176452,1.189721
73,1.170983,1.196208
74,1.172602,1.191656
75,1.173304,1.192566
1,0.962003,1.251442
2,1.453559,1.119378
3,1.539143,1.069312
4,1.636886,1.038642
5,1.479606,1.066703
6,1.353797,1.121495
7,1.278271,1.145655
8,1.198988,1.181237
9,1.149438,1.205361
10,1.140342,1.206629
11,1.158442,1.206508
12,1.135497,1.207559
13,1.101705,1.225003
14,1.092417,1.227363
15,1.104600,1.219980
16,1.114387,1.213110
17,1.119681,1.209694
18,1.133087,1.205947
19,1.131856,1.202722
20,1.141830,1.197501
21,1.143547,1.195725
22,1.164250,1.182008
23,1.167134,1.184063
24,1.176439,1.181841
25,1.178013,1.182307
26,1.181909,1.179483
27,1.186574,1.177178
28,1.185101,1.180563
29,1.191315,1.177501
30,1.195296,1.175830
31,1.188533,1.183606
32,1.198479,1.177916
33,1.191528,1.175341
34,1.206668,1.170849
35,1.202410,1.172653
36,1.191254,1.180203
37,1.196574,1.178648
38,1.201592,1.176510
39,1.200320,1.180340
40,1.193170,1.177329
41,1.206677,1.181534
42,1.198615,1.176350
43,1.206786,1.176493
44,1.196830,1.174965
45,1.194373,1.178235
46,1.204954,1.178526
47,1.198134,1.178937
48,1.201215,1.176266
49,1.200721,1.178132
50,1.195788,1.178995
51,1.198099,1.179723
52,1.202417,1.177007
53,1.199573,1.178160
54,1.203093,1.178417
55,1.201706,1.175114
56,1.198608,1.177897
57,1.206213,1.174338
58,1.206945,1.174392
59,1.208314,1.176896
60,1.211384,1.175000
61,1.207237,1.172906
62,1.206092,1.177034
63,1.208462,1.171128
64,1.208542,1.173588
65,1.216376,1.171253
66,1.217352,1.172920
67,1.207484,1.174298
68,1.216844,1.172700
69,1.217092,1.173887
70,1.215771,1.172184
71,1.209730,1.176037
72,1.214389,1.173526
73,1.212855,1.172041
74,1.216887,1.168431
75,1.220454,1.174379
